run,prompt,expected_action,predicted_action,correct,json_valid,parse_error,mqtt_published,architecture_success,confidence,reason,total_latency_s,ollama_latency_s,prompt_tokens,response_tokens,raw_response
1,qué es MQTT,none,,False,False,no_json,False,False,,,7.5305,7.5303,264,293,MQTT (Message Queuing Telemetry Transport) es un protocolo de comunicación asincrona utilizado para enviar y recibir mensajes entre dispositivos y sistemas. Fue diseñado originalmente para ser utiliza
2,ilumina el led,on,on,True,True,,True,True,1.0,El LED está siendo encendido,0.905,0.8381,266,30,"{
  ""action"": ""on"",
  ""confidence"": 1,
  ""reason"": ""El LED está siendo encendido""
}"
3,enciende el led,on,on,True,True,,True,True,1.0,Instrucción clara para encender el LED,0.9994,0.9237,265,32,"{
  ""action"": ""on"",
  ""confidence"": 1,
  ""reason"": ""Instrucción clara para encender el LED""
}"
4,explícame el protocolo,none,off,False,True,,True,True,0.8,El usuario pidió apagar el LED,7.4098,7.3421,267,306,"El protocolo es el siguiente:

**Preguntas posibles**

* ¿Quieres encender, prender o activar el LED? (Respuesta: on)
* ¿Quieres apagar o desactivar el LED? (Respuesta: off)
* No hay una instrucción c"
5,haz que el led brille,on,on,True,True,,True,True,1.0,Encendiendo el LED,0.9276,0.8571,268,28,"{
  ""action"": ""on"",
  ""confidence"": 1,
  ""reason"": ""Encendiendo el LED""
}"
6,enciende el indicador,on,on,True,True,,True,True,1.0,Encendiendo el LED,0.9066,0.8386,266,28,"{
  ""action"": ""on"",
  ""confidence"": 1,
  ""reason"": ""Encendiendo el LED""
}"
7,enciende el indicador,on,on,True,True,,True,True,1.0,Encendiendo el LED,0.8221,0.7522,266,28,"{
  ""action"": ""on"",
  ""confidence"": 1,
  ""reason"": ""Encendiendo el LED""
}"
8,enciende la luz,on,on,True,True,,True,True,1.0,Instrucción clara para encender el LED,1.0527,0.9817,265,32,"{
  ""action"": ""on"",
  ""confidence"": 1,
  ""reason"": ""Instrucción clara para encender el LED""
}"
9,explícame el protocolo,none,off,False,True,,True,True,0.8,El usuario pidió apagar el LED,7.5485,7.4809,267,306,"El protocolo es el siguiente:

**Preguntas posibles**

* ¿Quieres encender, prender o activar el LED? (Respuesta: on)
* ¿Quieres apagar o desactivar el LED? (Respuesta: off)
* No hay una instrucción c"
10,ilumina el led,on,on,True,True,,True,True,1.0,El LED está siendo encendido,0.9728,0.9008,266,30,"{
  ""action"": ""on"",
  ""confidence"": 1,
  ""reason"": ""El LED está siendo encendido""
}"
11,no enciendas el led,none,none,True,True,,False,False,1.0,Instrucción no clara,0.8445,0.8445,267,28,"{
  ""action"": ""none"",
  ""confidence"": 1,
  ""reason"": ""Instrucción no clara""
}"
12,explícame el protocolo,none,off,False,True,,True,True,0.8,El usuario pidió apagar el LED,7.699,7.6321,267,306,"El protocolo es el siguiente:

**Preguntas posibles**

* ¿Quieres encender, prender o activar el LED? (Respuesta: on)
* ¿Quieres apagar o desactivar el LED? (Respuesta: off)
* No hay una instrucción c"
13,dime la hora,none,none,True,True,,False,False,0.0,No se proporcionó información relevante para determinar una acción,1.0482,1.0481,265,35,"{
  ""action"": ""none"",
  ""confidence"": 0,
  ""reason"": ""No se proporcionó información relevante para determinar una acción""
}"
14,quítale la luz,off,none,False,True,,False,False,0.0,Instrucción ambigua,0.8338,0.8337,266,27,"{
  ""action"": ""none"",
  ""confidence"": 0,
  ""reason"": ""Instrucción ambigua""
}"
15,activa el led,on,on,True,True,,True,True,1.0,Instrucción clara para activar el LED,1.1381,1.0713,265,32,"{
  ""action"": ""on"",
  ""confidence"": 1,
  ""reason"": ""Instrucción clara para activar el LED""
}"
16,oscurece el led,off,none,False,True,,False,False,0.0,Instrucción no clara,0.9993,0.9988,266,28,"{
  ""action"": ""none"",
  ""confidence"": 0,
  ""reason"": ""Instrucción no clara""
}"
17,desconecta el led,off,off,True,True,,True,True,1.0,Apagar el LED,0.9495,0.8807,266,27,"{
  ""action"": ""off"",
  ""confidence"": 1,
  ""reason"": ""Apagar el LED""
}"
18,prende la luz del prototipo,on,on,True,True,,True,True,1.0,Encendiendo el LED para probar el prototipo,1.1264,1.0552,269,35,"{
  ""action"": ""on"",
  ""confidence"": 1,
  ""reason"": ""Encendiendo el LED para probar el prototipo""
}"
19,enciende el led,on,on,True,True,,True,True,1.0,Instrucción clara para encender el LED,1.017,0.9491,265,32,"{
  ""action"": ""on"",
  ""confidence"": 1,
  ""reason"": ""Instrucción clara para encender el LED""
}"
20,activa el led,on,on,True,True,,True,True,1.0,Instrucción clara para activar el LED,1.0159,0.9461,265,32,"{
  ""action"": ""on"",
  ""confidence"": 1,
  ""reason"": ""Instrucción clara para activar el LED""
}"
21,conecta el led,on,on,True,True,,True,True,1.0,Conectado al LED,0.9321,0.8654,265,28,"{
  ""action"": ""on"",
  ""confidence"": 1,
  ""reason"": ""Conectado al LED""
}"
22,enciende el indicador,on,on,True,True,,True,True,1.0,Encendiendo el LED,0.9192,0.8443,266,28,"{
  ""action"": ""on"",
  ""confidence"": 1,
  ""reason"": ""Encendiendo el LED""
}"
23,apaga la lampara,off,off,True,True,,True,True,1.0,Instrucción específica para apagar,0.9768,0.9098,266,30,"{
  ""action"": ""off"",
  ""confidence"": 1,
  ""reason"": ""Instrucción específica para apagar""
}"
24,desactiva el foco,off,off,True,True,,True,True,1.0,Apagar el LED,0.9124,0.8445,267,27,"{
  ""action"": ""off"",
  ""confidence"": 1,
  ""reason"": ""Apagar el LED""
}"
